"Input number 649 with intial rewrite term cabaaabaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 380  Number of array doubles: 0"
Term	Number
cabaaabebd	487
cabaaafbbd	487
cabaaebbbd	487
cabaeabbbd	487
cabeaabbbd	487
cafbaabbbd	487
cebbaabbbd	487
cbbbaabbbd	487
cbbbaabgbd	731
cbbbaagbbd	731
cbbbafabbd	731
cbbbebabbd	731
cbbfbbabbd	731
cbgabbabbd	731
cgbabbabbd	731
cabbabbabbd	731
cabbabbagbd	1097
cabbabbfabd	1097
cabbabgaabd	1097
cabbagbaabd	1097
cabbfabaabd	1097
cabgaabaabd	1097
cagbaabaabd	1097
cfabaabaabd	1097
caaabaabaabd	1097
caaabaabebd	823
caaabaafbbd	823
caaabaebbbd	823
caaabeabbbd	823
caaafbabbbd	823
caaebbabbbd	823
caeabbabbbd	823
ceaabbabbbd	823
cbaabbabbbd	823
cbaabbabgbd	1235
cbaabbagbbd	1235
cbaabbfabbd	1235
cbaabgaabbd	1235
cbaagbaabbd	1235
cbafabaabbd	1235
cbebabaabbd	1235
cfbbabaabbd	1235
caabbabaabbd	1235
caabbabaagbd	1853
caabbabafabd	1853
caabbabebabd	1853
caabbafbbabd	1853
caabbebbbabd	1853
caabfbbbbabd	1853
caagabbbbabd	1853
cafaabbbbabd	1853
cebaabbbbabd	1853
cbbaabbbbabd	1853
cbbaabbbbd	463
cbbaabbgbd	695
cbbaabgbbd	695
cbbaagbbbd	695
cbbafabbbd	695
cbbebabbbd	695
cbfbbabbbd	695
cgabbabbbd	695
cababbabbbd	695
cababbabgbd	1043
cababbagbbd	1043
cababbfabbd	1043
cababgaabbd	1043
cabagbaabbd	1043
cabfabaabbd	1043
cagaabaabbd	1043
cfaaabaabbd	1043
caaaaabaabbd	1043
caaaaabaagbd	1565
caaaaabafabd	1565
caaaaabebabd	1565
caaaaafbbabd	1565
caaaaebbbabd	1565
caaaeabbbabd	1565
caaeaabbbabd	1565
caeaaabbbabd	1565
ceaaaabbbabd	1565
cbaaaabbbabd	1565
cbaaaabbbd	391
cbaaaabgbd	587
cbaaaagbbd	587
cbaaafabbd	587
cbaaebabbd	587
cbaeababbd	587
cbeaababbd	587
cfbaababbd	587
caabaababbd	587
caabaabagbd	881
caabaabfabd	881
caabaagaabd	881
caabafaaabd	881
caabebaaabd	881
caafbbaaabd	881
caebbbaaabd	881
ceabbbaaabd	881
cbabbbaaabd	881
cbabbbaebd	661
cbabbbeabd	661
cbabbfbabd	661
cbabgababd	661
cbagbababd	661
cbfabababd	661
cgaabababd	661
cabaabababd	661
cabaababd	165
cabaabd	41
cabebd	31
cafbbd	31
cebbbd	31
cbbbbd	31
cbbgbd	47
cbgbbd	47
cgbbbd	47
cabbbbd	47
cabbgbd	71
cabgbbd	71
cagbbbd	71
cfabbbd	71
caaabbbd	71
caaabgbd	107
caaagbbd	107
caafabbd	107
caebabbd	107
ceababbd	107
cbababbd	107
cbabagbd	161
cbabfabd	161
cbagaabd	161
cbfaaabd	161
cgaaaabd	161
cabaaaabd	161
cabaaebd	121
cabaeabd	121
cabeaabd	121
cafbaabd	121
cebbaabd	121
cbbbaabd	121
cbbbebd	91
cbbfbbd	91
cbgabbd	91
cgbabbd	91
cabbabbd	91
cabbagbd	137
cabbfabd	137
cabgaabd	137
cagbaabd	137
cfabaabd	137
caaabaabd	137
caaabebd	103
caaafbbd	103
caaebbbd	103
caeabbbd	103
ceaabbbd	103
cbaabbbd	103
cbaabgbd	155
cbaagbbd	155
cbafabbd	155
cbebabbd	155
cfbbabbd	155
caabbabbd	155
caabbagbd	233
caabbfabd	233
caabgaabd	233
caagbaabd	233
cafabaabd	233
cebabaabd	233
cbbabaabd	233
cbbabebd	175
cbbafbbd	175
cbbebbbd	175
cbfbbbbd	175
cgabbbbd	175
cababbbbd	175
cababbgbd	263
cababgbbd	263
cabagbbbd	263
cabfabbbd	263
cagaabbbd	263
cfaaabbbd	263
caaaaabbbd	263
caaaaabgbd	395
caaaaagbbd	395
caaaafabbd	395
caaaebabbd	395
caaeababbd	395
caeaababbd	395
ceaaababbd	395
cbaaababbd	395
cbaaabagbd	593
cbaaabfabd	593
cbaaagaabd	593
cbaafaaabd	593
cbaebaaabd	593
cbeabaaabd	593
cfbabaaabd	593
caababaaabd	593
caababaebd	445
caababeabd	445
caabafbabd	445
caabebbabd	445
caafbbbabd	445
caebbbbabd	445
ceabbbbabd	445
cbabbbbabd	445
cbabbbbd	111
cbabbgbd	167
cbabgbbd	167
cbagbbbd	167
cbfabbbd	167
cgaabbbd	167
cabaabbbd	167
cabaabgbd	251
cabaagbbd	251
cabafabbd	251
cabebabbd	251
cafbbabbd	251
cebbbabbd	251
cbbbbabbd	251
cbbbbagbd	377
cbbbbfabd	377
cbbbgaabd	377
cbbgbaabd	377
cbgbbaabd	377
cgbbbaabd	377
cabbbbaabd	377
cabbbbebd	283
cabbbfbbd	283
cabbgabbd	283
cabgbabbd	283
cagbbabbd	283
cfabbabbd	283
caaabbabbd	283
caaabbagbd	425
caaabbfabd	425
caaabgaabd	425
caaagbaabd	425
caafabaabd	425
caebabaabd	425
ceababaabd	425
cbababaabd	425
cbababebd	319
cbabafbbd	319
cbabebbbd	319
cbafbbbbd	319
cbebbbbbd	319
cfbbbbbbd	319
caabbbbbbd	319
caabbbbgbd	479
caabbbgbbd	479
caabbgbbbd	479
caabgbbbbd	479
caagbbbbbd	479
cafabbbbbd	479
cebabbbbbd	479
cbbabbbbbd	479
cbbabbbgbd	719
cbbabbgbbd	719
cbbabgbbbd	719
cbbagbbbbd	719
cbbfabbbbd	719
cbgaabbbbd	719
cgbaabbbbd	719
cabbaabbbbd	719
cabbaabbgbd	1079
cabbaabgbbd	1079
cabbaagbbbd	1079
cabbafabbbd	1079
cabbebabbbd	1079
cabfbbabbbd	1079
cagabbabbbd	1079
cfaabbabbbd	1079
caaaabbabbbd	1079
caaaabbabgbd	1619
caaaabbagbbd	1619
caaaabbfabbd	1619
caaaabgaabbd	1619
caaaagbaabbd	1619
caaafabaabbd	1619
caaebabaabbd	1619
caeababaabbd	1619
ceaababaabbd	1619
cbaababaabbd	1619
cbaababaagbd	2429
cbaababafabd	2429
cbaababebabd	2429
cbaabafbbabd	2429
cbaabebbbabd	2429
cbaafbbbbabd	2429
cbaebbbbbabd	2429
cbeabbbbbabd	2429
cfbabbbbbabd	2429
caababbbbbabd	2429
caababbbbbd	607
caababbbgbd	911
caababbgbbd	911
caababgbbbd	911
caabagbbbbd	911
caabfabbbbd	911
caagaabbbbd	911
cafaaabbbbd	911
cebaaabbbbd	911
cbbaaabbbbd	911
cbbaaabbgbd	1367
cbbaaabgbbd	1367
cbbaaagbbbd	1367
cbbaafabbbd	1367
cbbaebabbbd	1367
cbbeababbbd	1367
cbfbababbbd	1367
cgabababbbd	1367
cababababbbd	1367
cababababgbd	2051
cabababagbbd	2051
cabababfabbd	2051
cababagaabbd	2051
cababfaaabbd	2051
cabagaaaabbd	2051
cabfaaaaabbd	2051
