Input Number	Final Number	Number of rewrite steps	Number of array doubles
268549803	3	9708	1
226588897	3	9626	1
169941673	3	9600	1
63728127	3	9563	1
36791535	3	6130	1
15733191	3	5705	1
14934241	3	5588	1
11200681	3	5566	1
8400511	3	5544	1
6649279	3	5888	1
5649499	3	4424	1
3732423	3	4587	1
3542887	3	4480	1
3064033	3	4304	1
2298025	3	4284	1
1723519	3	4264	1
1501353	3	4327	1
1117065	3	3610	1
837799	3	3591	1
626331	3	3579	1
511935	3	2670	1
410011	3	2509	1
230631	3	2468	1
216367	3	2027	1
156159	3	2324	1
142587	3	2387	1
106239	3	1810	1
77031	3	1840	1
52527	3	1677	1
35655	3	1878	1
34239	3	1464	1
26623	3	1490	1
23529	3	1240	1
17647	3	1227	1
13255	3	1110	1
10971	3	1006	1
6171	3	976	1
3711	3	845	1
2919	3	875	1
2463	3	834	1
2223	3	730	1
1161	3	575	1
871	3	566	1
703	3	676	1
649	3	380	0
327	3	383	1
313	3	332	0
231	3	321	1
171	3	302	1
129	3	295	1
97	3	289	1
73	3	284	1
27	3	275	1
25	3	17	0
9	3	11	0
7	3	9	0
3	3	0	0
