"Input number 4084 with intial rewrite term cbbbbbbbabaad
Generated final number 17 with final rewrite term caaabd
Number of steps: 125  Number of array doubles: 0"
Term	Number
cbbbbbbbabad	2042
cbbbbbbbabd	1021
cbbbbbbbagd	1532
cbbbbbbbfad	1532
cbbbbbbgaad	1532
cbbbbbgbaad	1532
cbbbbgbbaad	1532
cbbbgbbbaad	1532
cbbgbbbbaad	1532
cbgbbbbbaad	1532
cgbbbbbbaad	1532
cabbbbbbbaad	1532
cabbbbbbbad	766
cabbbbbbbd	383
cabbbbbbgd	575
cabbbbbgbd	575
cabbbbgbbd	575
cabbbgbbbd	575
cabbgbbbbd	575
cabgbbbbbd	575
cagbbbbbbd	575
cfabbbbbbd	575
caaabbbbbbd	575
caaabbbbbgd	863
caaabbbbgbd	863
caaabbbgbbd	863
caaabbgbbbd	863
caaabgbbbbd	863
caaagbbbbbd	863
caafabbbbbd	863
caebabbbbbd	863
ceababbbbbd	863
cbababbbbbd	863
cbababbbbgd	1295
cbababbbgbd	1295
cbababbgbbd	1295
cbababgbbbd	1295
cbabagbbbbd	1295
cbabfabbbbd	1295
cbagaabbbbd	1295
cbfaaabbbbd	1295
cgaaaabbbbd	1295
cabaaaabbbbd	1295
cabaaaabbbgd	1943
cabaaaabbgbd	1943
cabaaaabgbbd	1943
cabaaaagbbbd	1943
cabaaafabbbd	1943
cabaaebabbbd	1943
cabaeababbbd	1943
cabeaababbbd	1943
cafbaababbbd	1943
cebbaababbbd	1943
cbbbaababbbd	1943
cbbbaababbgd	2915
cbbbaababgbd	2915
cbbbaabagbbd	2915
cbbbaabfabbd	2915
cbbbaagaabbd	2915
cbbbafaaabbd	2915
cbbbebaaabbd	2915
cbbfbbaaabbd	2915
cbgabbaaabbd	2915
cgbabbaaabbd	2915
cabbabbaaabbd	2915
cabbabbaaabgd	4373
cabbabbaaagbd	4373
cabbabbaafabd	4373
cabbabbaebabd	4373
cabbabbeababd	4373
cabbabfbababd	4373
cabbagabababd	4373
cabbfaabababd	4373
cabgaaabababd	4373
cagbaaabababd	4373
cfabaaabababd	4373
caaabaaabababd	4373
caaabaaababagd	6560
caaabaaababfad	6560
caaabaaabagaad	6560
caaabaaabfaaad	6560
caaabaaagaaaad	6560
caaabaafaaaaad	6560
caaabaebaaaaad	6560
caaabeabaaaaad	6560
caaafbabaaaaad	6560
caaebbabaaaaad	6560
caeabbabaaaaad	6560
ceaabbabaaaaad	6560
cbaabbabaaaaad	6560
cbaabbabaaaad	3280
cbaabbabaaad	1640
cbaabbabaad	820
cbaabbabad	410
cbaabbabd	205
cbaabbagd	308
cbaabbfad	308
cbaabgaad	308
cbaagbaad	308
cbafabaad	308
cbebabaad	308
cfbbabaad	308
caabbabaad	308
caabbabad	154
caabbabd	77
caabbagd	116
caabbfad	116
caabgaad	116
caagbaad	116
cafabaad	116
cebabaad	116
cbbabaad	116
cbbabad	58
cbbabd	29
cbbagd	44
cbbfad	44
cbgaad	44
cgbaad	44
cabbaad	44
cabbad	22
cabbd	11
cabgd	17
cagbd	17
cfabd	17
caaabd	17
