"Input number 6649279 with intial rewrite term cbaabababbbababbabbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 6422  Number of array doubles: 1"
Term	Number
cbaabababbbababbabbbbbgd	9973919
cbaabababbbababbabbbbgbd	9973919
cbaabababbbababbabbbgbbd	9973919
cbaabababbbababbabbgbbbd	9973919
cbaabababbbababbabgbbbbd	9973919
cbaabababbbababbagbbbbbd	9973919
cbaabababbbababbfabbbbbd	9973919
cbaabababbbababgaabbbbbd	9973919
cbaabababbbabagbaabbbbbd	9973919
cbaabababbbabfabaabbbbbd	9973919
cbaabababbbagaabaabbbbbd	9973919
cbaabababbbfaaabaabbbbbd	9973919
cbaabababbgaaaabaabbbbbd	9973919
cbaabababgbaaaabaabbbbbd	9973919
cbaababagbbaaaabaabbbbbd	9973919
cbaababfabbaaaabaabbbbbd	9973919
cbaabagaabbaaaabaabbbbbd	9973919
cbaabfaaabbaaaabaabbbbbd	9973919
cbaagaaaabbaaaabaabbbbbd	9973919
cbafaaaaabbaaaabaabbbbbd	9973919
cbebaaaaabbaaaabaabbbbbd	9973919
cfbbaaaaabbaaaabaabbbbbd	9973919
caabbaaaaabbaaaabaabbbbbd	9973919
caabbaaaaabbaaaabaabbbbgd	14960879
caabbaaaaabbaaaabaabbbgbd	14960879
caabbaaaaabbaaaabaabbgbbd	14960879
caabbaaaaabbaaaabaabgbbbd	14960879
caabbaaaaabbaaaabaagbbbbd	14960879
caabbaaaaabbaaaabafabbbbd	14960879
caabbaaaaabbaaaabebabbbbd	14960879
caabbaaaaabbaaaafbbabbbbd	14960879
caabbaaaaabbaaaebbbabbbbd	14960879
caabbaaaaabbaaeabbbabbbbd	14960879
caabbaaaaabbaeaabbbabbbbd	14960879
caabbaaaaabbeaaabbbabbbbd	14960879
caabbaaaaabfbaaabbbabbbbd	14960879
caabbaaaaagabaaabbbabbbbd	14960879
caabbaaaafaabaaabbbabbbbd	14960879
caabbaaaebaabaaabbbabbbbd	14960879
caabbaaeabaabaaabbbabbbbd	14960879
caabbaeaabaabaaabbbabbbbd	14960879
caabbeaaabaabaaabbbabbbbd	14960879
caabfbaaabaabaaabbbabbbbd	14960879
caagabaaabaabaaabbbabbbbd	14960879
cafaabaaabaabaaabbbabbbbd	14960879
cebaabaaabaabaaabbbabbbbd	14960879
cbbaabaaabaabaaabbbabbbbd	14960879
cbbaabaaabaabaaabbbabbbgd	22441319
cbbaabaaabaabaaabbbabbgbd	22441319
cbbaabaaabaabaaabbbabgbbd	22441319
cbbaabaaabaabaaabbbagbbbd	22441319
cbbaabaaabaabaaabbbfabbbd	22441319
cbbaabaaabaabaaabbgaabbbd	22441319
cbbaabaaabaabaaabgbaabbbd	22441319
cbbaabaaabaabaaagbbaabbbd	22441319
cbbaabaaabaabaafabbaabbbd	22441319
cbbaabaaabaabaebabbaabbbd	22441319
cbbaabaaabaabeababbaabbbd	22441319
cbbaabaaabaafbababbaabbbd	22441319
cbbaabaaabaebbababbaabbbd	22441319
cbbaabaaabeabbababbaabbbd	22441319
cbbaabaaafbabbababbaabbbd	22441319
cbbaabaaebbabbababbaabbbd	22441319
cbbaabaeabbabbababbaabbbd	22441319
cbbaabeaabbabbababbaabbbd	22441319
cbbaafbaabbabbababbaabbbd	22441319
cbbaebbaabbabbababbaabbbd	22441319
cbbeabbaabbabbababbaabbbd	22441319
cbfbabbaabbabbababbaabbbd	22441319
cgababbaabbabbababbaabbbd	22441319
cabababbaabbabbababbaabbbd	22441319
cabababbaabbabbababbaabbgd	33661979
cabababbaabbabbababbaabgbd	33661979
cabababbaabbabbababbaagbbd	33661979
cabababbaabbabbababbafabbd	33661979
cabababbaabbabbababbebabbd	33661979
cabababbaabbabbababfbbabbd	33661979
cabababbaabbabbabagabbabbd	33661979
cabababbaabbabbabfaabbabbd	33661979
cabababbaabbabbagaaabbabbd	33661979
cabababbaabbabbfaaaabbabbd	33661979
cabababbaabbabgaaaaabbabbd	33661979
cabababbaabbagbaaaaabbabbd	33661979
cabababbaabbfabaaaaabbabbd	33661979
cabababbaabgaabaaaaabbabbd	33661979
cabababbaagbaabaaaaabbabbd	33661979
cabababbafabaabaaaaabbabbd	33661979
cabababbebabaabaaaaabbabbd	33661979
cabababfbbabaabaaaaabbabbd	33661979
cababagabbabaabaaaaabbabbd	33661979
cababfaabbabaabaaaaabbabbd	33661979
cabagaaabbabaabaaaaabbabbd	33661979
cabfaaaabbabaabaaaaabbabbd	33661979
cagaaaaabbabaabaaaaabbabbd	33661979
cfaaaaaabbabaabaaaaabbabbd	33661979
caaaaaaaabbabaabaaaaabbabbd	33661979
caaaaaaaabbabaabaaaaabbabgd	50492969
caaaaaaaabbabaabaaaaabbagbd	50492969
caaaaaaaabbabaabaaaaabbfabd	50492969
caaaaaaaabbabaabaaaaabgaabd	50492969
caaaaaaaabbabaabaaaaagbaabd	50492969
caaaaaaaabbabaabaaaafabaabd	50492969
caaaaaaaabbabaabaaaebabaabd	50492969
caaaaaaaabbabaabaaeababaabd	50492969
caaaaaaaabbabaabaeaababaabd	50492969
caaaaaaaabbabaabeaaababaabd	50492969
caaaaaaaabbabaafbaaababaabd	50492969
caaaaaaaabbabaebbaaababaabd	50492969
caaaaaaaabbabeabbaaababaabd	50492969
caaaaaaaabbafbabbaaababaabd	50492969
caaaaaaaabbebbabbaaababaabd	50492969
caaaaaaaabfbbbabbaaababaabd	50492969
caaaaaaaagabbbabbaaababaabd	50492969
caaaaaaafaabbbabbaaababaabd	50492969
caaaaaaebaabbbabbaaababaabd	50492969
caaaaaeabaabbbabbaaababaabd	50492969
