"Input number 34239 with intial rewrite term caaaababbabbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1716  Number of array doubles: 1"
Term	Number
caaaababbabbbbbgd	51359
caaaababbabbbbgbd	51359
caaaababbabbbgbbd	51359
caaaababbabbgbbbd	51359
caaaababbabgbbbbd	51359
caaaababbagbbbbbd	51359
caaaababbfabbbbbd	51359
caaaababgaabbbbbd	51359
caaaabagbaabbbbbd	51359
caaaabfabaabbbbbd	51359
caaaagaabaabbbbbd	51359
caaafaaabaabbbbbd	51359
caaebaaabaabbbbbd	51359
caeabaaabaabbbbbd	51359
ceaabaaabaabbbbbd	51359
cbaabaaabaabbbbbd	51359
cbaabaaabaabbbbgd	77039
cbaabaaabaabbbgbd	77039
cbaabaaabaabbgbbd	77039
cbaabaaabaabgbbbd	77039
cbaabaaabaagbbbbd	77039
cbaabaaabafabbbbd	77039
cbaabaaabebabbbbd	77039
cbaabaaafbbabbbbd	77039
cbaabaaebbbabbbbd	77039
cbaabaeabbbabbbbd	77039
cbaabeaabbbabbbbd	77039
cbaafbaabbbabbbbd	77039
cbaebbaabbbabbbbd	77039
cbeabbaabbbabbbbd	77039
cfbabbaabbbabbbbd	77039
caababbaabbbabbbbd	77039
caababbaabbbabbbgd	115559
caababbaabbbabbgbd	115559
caababbaabbbabgbbd	115559
caababbaabbbagbbbd	115559
caababbaabbbfabbbd	115559
caababbaabbgaabbbd	115559
caababbaabgbaabbbd	115559
caababbaagbbaabbbd	115559
caababbafabbaabbbd	115559
caababbebabbaabbbd	115559
caababfbbabbaabbbd	115559
caabagabbabbaabbbd	115559
caabfaabbabbaabbbd	115559
caagaaabbabbaabbbd	115559
cafaaaabbabbaabbbd	115559
cebaaaabbabbaabbbd	115559
cbbaaaabbabbaabbbd	115559
cbbaaaabbabbaabbgd	173339
cbbaaaabbabbaabgbd	173339
cbbaaaabbabbaagbbd	173339
cbbaaaabbabbafabbd	173339
cbbaaaabbabbebabbd	173339
cbbaaaabbabfbbabbd	173339
cbbaaaabbagabbabbd	173339
cbbaaaabbfaabbabbd	173339
cbbaaaabgaaabbabbd	173339
cbbaaaagbaaabbabbd	173339
cbbaaafabaaabbabbd	173339
cbbaaebabaaabbabbd	173339
cbbaeababaaabbabbd	173339
cbbeaababaaabbabbd	173339
cbfbaababaaabbabbd	173339
cgabaababaaabbabbd	173339
cababaababaaabbabbd	173339
cababaababaaabbabgd	260009
cababaababaaabbagbd	260009
cababaababaaabbfabd	260009
cababaababaaabgaabd	260009
cababaababaaagbaabd	260009
cababaababaafabaabd	260009
cababaababaebabaabd	260009
cababaababeababaabd	260009
cababaabafbababaabd	260009
cababaabebbababaabd	260009
cababaafbbbababaabd	260009
cababaebbbbababaabd	260009
cababeabbbbababaabd	260009
cabafbabbbbababaabd	260009
cabebbabbbbababaabd	260009
cafbbbabbbbababaabd	260009
cebbbbabbbbababaabd	260009
cbbbbbabbbbababaabd	260009
cbbbbbabbbbababaagd	390014
cbbbbbabbbbababafad	390014
cbbbbbabbbbababebad	390014
cbbbbbabbbbabafbbad	390014
cbbbbbabbbbabebbbad	390014
cbbbbbabbbbafbbbbad	390014
cbbbbbabbbbebbbbbad	390014
cbbbbbabbbfbbbbbbad	390014
cbbbbbabbgabbbbbbad	390014
cbbbbbabgbabbbbbbad	390014
cbbbbbagbbabbbbbbad	390014
cbbbbbfabbabbbbbbad	390014
cbbbbgaabbabbbbbbad	390014
cbbbgbaabbabbbbbbad	390014
cbbgbbaabbabbbbbbad	390014
cbgbbbaabbabbbbbbad	390014
cgbbbbaabbabbbbbbad	390014
cabbbbbaabbabbbbbbad	390014
cabbbbbaabbabbbbbbd	195007
cabbbbbaabbabbbbbgd	292511
cabbbbbaabbabbbbgbd	292511
cabbbbbaabbabbbgbbd	292511
cabbbbbaabbabbgbbbd	292511
cabbbbbaabbabgbbbbd	292511
cabbbbbaabbagbbbbbd	292511
cabbbbbaabbfabbbbbd	292511
cabbbbbaabgaabbbbbd	292511
cabbbbbaagbaabbbbbd	292511
cabbbbbafabaabbbbbd	292511
cabbbbbebabaabbbbbd	292511
cabbbbfbbabaabbbbbd	292511
cabbbgabbabaabbbbbd	292511
cabbgbabbabaabbbbbd	292511
cabgbbabbabaabbbbbd	292511
cagbbbabbabaabbbbbd	292511
cfabbbabbabaabbbbbd	292511
caaabbbabbabaabbbbbd	292511
caaabbbabbabaabbbbgd	438767
caaabbbabbabaabbbgbd	438767
caaabbbabbabaabbgbbd	438767
caaabbbabbabaabgbbbd	438767
caaabbbabbabaagbbbbd	438767
caaabbbabbabafabbbbd	438767
caaabbbabbabebabbbbd	438767
caaabbbabbafbbabbbbd	438767
caaabbbabbebbbabbbbd	438767
caaabbbabfbbbbabbbbd	438767
caaabbbagabbbbabbbbd	438767
caaabbbfaabbbbabbbbd	438767
caaabbgaaabbbbabbbbd	438767
caaabgbaaabbbbabbbbd	438767
caaagbbaaabbbbabbbbd	438767
caafabbaaabbbbabbbbd	438767
caebabbaaabbbbabbbbd	438767
ceababbaaabbbbabbbbd	438767
cbababbaaabbbbabbbbd	438767
cbababbaaabbbbabbbgd	658151
cbababbaaabbbbabbgbd	658151
cbababbaaabbbbabgbbd	658151
cbababbaaabbbbagbbbd	658151
cbababbaaabbbbfabbbd	658151
cbababbaaabbbgaabbbd	658151
cbababbaaabbgbaabbbd	658151
cbababbaaabgbbaabbbd	658151
cbababbaaagbbbaabbbd	658151
cbababbaafabbbaabbbd	658151
cbababbaebabbbaabbbd	658151
cbababbeababbbaabbbd	658151
cbababfbababbbaabbbd	658151
cbabagabababbbaabbbd	658151
cbabfaabababbbaabbbd	658151
cbagaaabababbbaabbbd	658151
cbfaaaabababbbaabbbd	658151
cgaaaaabababbbaabbbd	658151
cabaaaaabababbbaabbbd	658151
cabaaaaabababbbaabbgd	987227
cabaaaaabababbbaabgbd	987227
cabaaaaabababbbaagbbd	987227
cabaaaaabababbbafabbd	987227
cabaaaaabababbbebabbd	987227
cabaaaaabababbfbbabbd	987227
cabaaaaabababgabbabbd	987227
cabaaaaababagbabbabbd	987227
cabaaaaababfababbabbd	987227
cabaaaaabagaababbabbd	987227
cabaaaaabfaaababbabbd	987227
cabaaaaagaaaababbabbd	987227
cabaaaafaaaaababbabbd	987227
cabaaaebaaaaababbabbd	987227
cabaaeabaaaaababbabbd	987227
cabaeaabaaaaababbabbd	987227
cabeaaabaaaaababbabbd	987227
cafbaaabaaaaababbabbd	987227
cebbaaabaaaaababbabbd	987227
cbbbaaabaaaaababbabbd	987227
cbbbaaabaaaaababbabgd	1480841
cbbbaaabaaaaababbagbd	1480841
cbbbaaabaaaaababbfabd	1480841
cbbbaaabaaaaababgaabd	1480841
cbbbaaabaaaaabagbaabd	1480841
cbbbaaabaaaaabfabaabd	1480841
cbbbaaabaaaaagaabaabd	1480841
cbbbaaabaaaafaaabaabd	1480841
cbbbaaabaaaebaaabaabd	1480841
cbbbaaabaaeabaaabaabd	1480841
cbbbaaabaeaabaaabaabd	1480841
cbbbaaabeaaabaaabaabd	1480841
cbbbaaafbaaabaaabaabd	1480841
cbbbaaebbaaabaaabaabd	1480841
cbbbaeabbaaabaaabaabd	1480841
cbbbeaabbaaabaaabaabd	1480841
