"Input number 123 with intial rewrite term cbbbabbd
Generated final number 5 with final rewrite term cabd
Number of steps: 62  Number of array doubles: 0"
Term	Number
cbbbfabd	185
cbbgaabd	185
cbgbaabd	185
cgbbaabd	185
cabbbaabd	185
cabbbebd	139
cabbfbbd	139
cabgabbd	139
cagbabbd	139
cfababbd	139
caaababbd	139
caaabfabd	209
caaagaabd	209
caafaaabd	209
caebaaabd	209
ceabaaabd	209
cbabaaabd	209
cbabaebd	157
cbabeabd	157
cbafbabd	157
cbebbabd	157
cfbbbabd	157
caabbbabd	157
caabbgd	59
caabgbd	59
caagbbd	59
cafabbd	59
cebabbd	59
cbbabbd	59
cbbfabd	89
cbgaabd	89
cgbaabd	89
cabbaabd	89
cabbebd	67
cabfbbd	67
cagabbd	67
cfaabbd	67
caaaabbd	67
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaagd	38
cbafad	38
cbebad	38
cfbbad	38
caabbad	38
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbgd	11
cgbd	11
cabbd	11
cfabd	17
caaabd	17
caebd	13
ceabd	13
cbabd	13
cgd	5
cabd	5
